run_id,episode,train_reward,eval_avg_reward,eval_avg_energy,eval_avg_comfort_violation,epsilon,learning_rate,gamma,epsilon_decay
qlearning_v1,88,-894.3166,,,,0.643326,0.1,0.95,0.995
qlearning_v1,89,-764.8265,,,,0.640109,0.1,0.95,0.995
qlearning_v1,90,-771.9751,,,,0.636909,0.1,0.95,0.995
qlearning_v1,91,-679.0711,,,,0.633724,0.1,0.95,0.995
qlearning_v1,92,-712.5732,,,,0.630556,0.1,0.95,0.995
qlearning_v1,93,-835.0322,,,,0.627403,0.1,0.95,0.995
qlearning_v1,94,-633.2648,,,,0.624266,0.1,0.95,0.995
qlearning_v1,95,-712.014,,,,0.621145,0.1,0.95,0.995
qlearning_v1,96,-731.5401,,,,0.618039,0.1,0.95,0.995
qlearning_v1,97,-775.7502,,,,0.614949,0.1,0.95,0.995
qlearning_v1,98,-604.4314,,,,0.611874,0.1,0.95,0.995
qlearning_v1,99,-725.2607,,,,0.608815,0.1,0.95,0.995
qlearning_v1,100,-649.6326,-935.742,72.95,836.092,0.60577,0.1,0.95,0.995
qlearning_v1,101,-797.8675,,,,0.602742,0.1,0.95,0.995
qlearning_v1,102,-736.4744,,,,0.599728,0.1,0.95,0.995
qlearning_v1,103,-725.8494,,,,0.596729,0.1,0.95,0.995
qlearning_v1,104,-873.5499,,,,0.593746,0.1,0.95,0.995
qlearning_v1,105,-587.7047,,,,0.590777,0.1,0.95,0.995
qlearning_v1,106,-711.1111,,,,0.587823,0.1,0.95,0.995
qlearning_v1,107,-739.0937,,,,0.584884,0.1,0.95,0.995
qlearning_v1,108,-801.2643,,,,0.581959,0.1,0.95,0.995
qlearning_v1,109,-605.1079,,,,0.57905,0.1,0.95,0.995
qlearning_v1,110,-675.5451,,,,0.576154,0.1,0.95,0.995
qlearning_v1,111,-633.0643,,,,0.573274,0.1,0.95,0.995
qlearning_v1,112,-718.1525,,,,0.570407,0.1,0.95,0.995
qlearning_v1,113,-675.45,,,,0.567555,0.1,0.95,0.995
qlearning_v1,114,-785.9142,,,,0.564717,0.1,0.95,0.995
qlearning_v1,115,-933.1066,,,,0.561894,0.1,0.95,0.995
qlearning_v1,116,-943.4678,,,,0.559084,0.1,0.95,0.995
qlearning_v1,117,-992.0524,,,,0.556289,0.1,0.95,0.995
qlearning_v1,118,-784.0494,,,,0.553508,0.1,0.95,0.995
qlearning_v1,119,-682.4227,,,,0.55074,0.1,0.95,0.995
qlearning_v1,120,-686.0351,,,,0.547986,0.1,0.95,0.995
qlearning_v1,121,-711.085,,,,0.545246,0.1,0.95,0.995
qlearning_v1,122,-782.4102,,,,0.54252,0.1,0.95,0.995
qlearning_v1,123,-689.6722,,,,0.539808,0.1,0.95,0.995
qlearning_v1,124,-647.8715,,,,0.537108,0.1,0.95,0.995
qlearning_v1,125,-665.5742,,,,0.534423,0.1,0.95,0.995
qlearning_v1,126,-832.3759,,,,0.531751,0.1,0.95,0.995
qlearning_v1,127,-840.7313,,,,0.529092,0.1,0.95,0.995
qlearning_v1,128,-881.0838,,,,0.526447,0.1,0.95,0.995
qlearning_v1,129,-601.0928,,,,0.523814,0.1,0.95,0.995
